Name,Type,Trial,Win?,Total Time,Number of Moves,LLM Attempts,List of MovesMaze Layout,PST end of Sample,Outcome Reason
gemma-3-27b-it,ZeroShot,1,False,77.14261841773987,148,11,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right']",P    # #  \n#       ##\n          \n          \n  #       \n          \n     #    \n     ## #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=37, tm_sec=41, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,4.149232864379883,29,3,"['right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right']",P# ##   # \n      #   \n          \n          \n          \n          \n#     #  #\n    #    W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=37, tm_sec=47, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,5.797478437423706,57,4,"['right', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down']",P #       \n   #      \n     #   #\n   #    # \n    #     \n#    #    \n          \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=37, tm_sec=55, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,8.962236881256104,0,11,[],P#        \n #        \n#     #   \n   #     #\n          \n#        #\n    # #   \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=45, tm_sec=59, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,4.637842893600464,30,3,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'down', 'right']",P         \n       #  \n          \n          \n          \n  # #     \n    ##   #\n##   ##  W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=26, tm_hour=23, tm_min=55, tm_sec=57, tm_wday=3, tm_yday=177, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.9334497451782227,31,3,"['right', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right']",P  #      \n #        \n     #    \n     #   #\n#    #    \n    # #   \n          \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=26, tm_hour=23, tm_min=56, tm_sec=3, tm_wday=3, tm_yday=177, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,13.188571453094482,37,3,"['right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'right', 'down', 'right']",P    #   #\n   #      \n          \n         #\n          \n#        #\n# #       \n  ##     W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=8, tm_sec=8, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,18.231230974197388,55,5,"['right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'right', 'right', 'up', 'left', 'left', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down']",P#  #   # \n          \n     #    \n          \n    #     \n#         \n#         \n       # W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=8, tm_sec=28, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,10.24788212776184,30,3,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right']",P #      #\n          \n          \n     #    \n      #   \n    #    #\n #     ## \n #       W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=33, tm_sec=1, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,10.629796981811523,32,3,"['right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right']",P#      # \n #     #  \n        # \n          \n      # # \n# #       \n   #      \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=33, tm_sec=13, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,32.56721878051758,104,8,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'down', 'down']",P  #      \n        # \n          \n       ## \n  #       \n#   #     \n     #    \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=46, tm_sec=52, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,11.122363090515137,34,3,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right']",P#        \n          \n          \n    #    #\n#         \n  #      #\n      ##  \n #       W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=49, tm_sec=3, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,12.572456359863281,40,3,"['right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down']",P     #   \n     #    \n##   #    \n          \n ##       \n          \n   #      \n       # W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=49, tm_sec=17, tm_wday=4, tm_yday=178, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,42.33599925041199,135,11,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right']",P         \n          \n  #       \n ##       \n     ##   \n      ##  \n          \n  #    ##W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=27, tm_hour=0, tm_min=50, tm_sec=1, tm_wday=4, tm_yday=178, tm_isdst=1)",failure
